project,classifier,threshold,AUC,MCC
InfiniTime,XGB,0.5-0.5-0.5,0.75,0.5
collectd,RandomForest,0.5-0.5-0.5,0.66,0.17
RxJava,RandomForest,0.5-0.5-0.5,0.79,0.34
iceberg,RandomForest,0.3-0.3-0.3,0.76,0.52
Terasology,RandomForest,0.7-0.7-0.7,0.87,0.23
phpredis,RandomForest,0.3-0.3-0.3,0.56,-0.07
light-4j,RandomForest,0.5-0.5-0.5,0.69,0.07
graylog2-server,XGB,0.4-0.4-0.4,0.61,0.24
netty,RandomForest,0.7-0.7-0.7,0.97,-0.01
i3,XGB,0.7-0.7-0.7,0.87,0.24
betaflight,RandomForest,0.6-0.6-0.6,0.9,0.37
checkstyle,XGB,0.5-0.5-0.5,0.82,0.45
Rajawali,XGB,0.4-0.4-0.4,0.58,0.21
mockito,CatBoost,0.5-0.5-0.5,0.95,0.91
SoftEtherVPN,CatBoost,0.5-0.5-0.5,0.49,-0.02
MinecraftForge,RandomForest,0.4-0.4-0.4,0.5,-0.01
graylog2-server,XGB,0.3-0.3-0.3,0.57,0.16
grpc-java,RandomForest,0.5-0.5-0.5,0.91,0.54
nng,XGB,0.7-0.7-0.7,0.88,-0.06
jabref,RandomForest,0.5-0.5-0.5,0.75,0.46
nng,XGB,0.6-0.6-0.6,0.81,0.23
swagger-core,XGB,0.5-0.5-0.5,0.72,0.25
InfiniTime,XGB,0.4-0.4-0.4,0.82,0.62
baritone,XGB,0.5-0.5-0.5,0.56,0.13
nng,RandomForest,0.6-0.6-0.6,0.86,0.23
premake-core,XGB,0.6-0.6-0.6,0.84,0.46
netty,XGB,0.6-0.6-0.6,0.84,0.01
grpc-java,XGB,0.7-0.7-0.7,0.97,0.66
druid,XGB,0.5-0.5-0.5,0.86,0.03
inav,XGB,0.3-0.3-0.3,0.75,0.46
sway,XGB,0.4-0.4-0.4,0.62,0.25
netdata,RandomForest,0.6-0.6-0.6,0.93,0.53
Mekanism,XGB,0.3-0.3-0.3,0.65,0.25
glide,XGB,0.6-0.6-0.6,0.69,-0.01
betaflight,XGB,0.5-0.5-0.5,0.8,0.27
samtools,RandomForest,0.3-0.3-0.3,0.79,0.32
inav,RandomForest,0.3-0.3-0.3,0.78,0.51
gatk,XGB,0.3-0.3-0.3,0.58,0.17
mockito,RandomForest,0.3-0.3-0.3,0.57,0.26
